project_name,description,department,county,sub_county,ward,location_address,location_coordinates,project_year,start_date,expected_completion_date,contractor_name,contractor_contact,step_name,step_description
Central Kamagambo Adults school,"Implementation of education, gender, youth, sports, culture and social services in Central Kamagambo ward under Rongo sub-county.","Education, Gender, Youth, Sports, Culture and Social Services",Migori,Rongo,Central Kamagambo,"Central Kamagambo Area, Rongo Sub-county","1.0276,34.4455",2024,,,EcoDev Works,2.55E+11,Land Survey,Carrying out land demarcation and topographical survey.
Construction of Macalder/Kanyarwanda Market construction,"Implementation of trade, tourism, industrialization and cooperative development in Macalder/Kanyarwanda ward under Nyatike sub-county.","Trade, Tourism, Industrialization and Cooperative Development",Migori,Nyatike,Macalder Kanyarwanda,"Macalder/Kanyarwanda Area, Nyatike Sub-county","1.0812,34.4102",2023,,,EcoDev Works,2.55E+11,Site Identification,Identifying suitable location for project execution.
Makerero public ICT Lab,"Implementation of ict, e-governance and innovation in Makerero ward under Kuria West sub-county.","ICT, e-Governance and Innovation",Migori,Kuria West,Makerero,"Makerero Area, Kuria West Sub-county","1.0333,34.4597",2025,,,GreenBuild Ltd,2.55E+11,Land Survey,Carrying out land demarcation and topographical survey.
West Kanyamkago Chicken butchery,"Implementation of agriculture, livestock, veterinary services, fisheries and blue economy in West Kanyamkago ward under Uriri sub-county.","Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",Migori,Uriri,West Kanyamkago,"West Kanyamkago Area, Uriri Sub-county","1.0487,34.4958",2023,,,Blue Economy Partners,2.55E+11,Feasibility Study,Conducting technical and social feasibility assessment.
"Suna Central Agriculture, Project","Implementation of agriculture, livestock, veterinary services, fisheries and blue economy in Suna Central ward under Suna East sub-county.","Agriculture, Livestock, Veterinary Services, Fisheries and Blue Economy",Migori,Suna East,Suna Central,"Suna Central Area, Suna East Sub-county","1.0317,34.4335",2024,,,MajiWorks Kenya,2.55E+11,Land Survey,Carrying out land demarcation and topographical survey.
West Kanyamkago Water Project,Implementation of water and energy in West Kanyamkago ward under Uriri sub-county.,Water and Energy,Migori,Uriri,West Kanyamkago,"West Kanyamkago Area, Uriri Sub-county","1.02,34.4861",2023,,,Sunrise Developers,2.55E+11,Design and Costing,Drafting architectural drawings and estimating costs.
God Jope Secondary school laboratory,Implementation of finance and economic planning in God Jope ward under Suna East sub-county.,Finance and Economic Planning,Migori,Suna East,God Jope,"God Jope Area, Suna East Sub-county","1.0251,34.4527",2024,,,EcoDev Works,2.55E+11,Site Identification,Identifying suitable location for project execution.
"Wiga ICT, Project","Implementation of ict, e-governance and innovation in Wiga ward under Suna West sub-county.","ICT, e-Governance and Innovation",Migori,Suna West,kisii,"Wiga Area, Suna West Sub-county","1.0159,34.4238",2023,,,EcoDev Works,2.55E+11,Land Survey,Carrying out land demarcation and topographical survey.
Wiga Market construction,Implementation of public health and medical services in Wiga ward under Suna West sub-county.,Public Health and Medical Services,Migori,Suna West,Wiga,"Wiga Area, Suna West Sub-county","1.0304,34.427",2023,,,GreenBuild Ltd,2.55E+11,Site Identification,Identifying suitable location for project execution.
Macalder/Kanyarwanda Irrigation scheme ,Implementation of public health and medical services in Macalder/Kanyarwanda ward under Nyatike sub-county.,Public Health and Medical Services,Migori,Nyatike,Macalder Kanyarwanda,"Macalder/Kanyarwanda Area, Nyatike Sub-county","1.0635,34.4014",2025,,,UrbanScope Ltd,2.55E+11,Project Planning & Approval,Initial project planning and securing approvals.
"Gokeharaka/Getamwega ICT, Project","Implementation of ict, e-governance and innovation in Gokeharaka/Getamwega ward under Kuria East sub-county.","ICT, e-Governance and Innovation",Migori,Kuria East,Gokeharaka Getamwega,"Gokeharaka/Getamwega Area, Kuria East Sub-county","1.074,34.4936",2025,,,UrbanScope Ltd,2.55E+11,Feasibility Study,Conducting technical and social feasibility assessment.
Siro Girls secondary Domitory,construction of a modern domitory at Siro Girls Secondary school,"Education, Gender, Youth, Sports, Culture and Social Services",Migori,Uriri,West Kanyamkago,Kisii,"-0.942752, 34.430065",2025,,,XYZ construction ltd,702353585,Feasibility Study,Conducting technical and social feasibility assessment.
